AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	null	null	null	7.15	null	13.97	0.00	10.69	10.69	-13.87	4.18	null	null	0.00 - 0.00%	0.00%	null	CAD	10.69	10.69	10.69 - 10.69	null	null	null	4/1/2016	0.34	3.72	28.03M	null	0.00	null	0.00	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	10.69	null	10:46am	10:46am - <b>10.69</b>	null	null	191.83M	null	AKITA CL B	null	null	null	null	0.00	null	null	-56.47%	0.00%	inf%	inf%	64.21%	10.69	0.77	null	null	null	1.40	null	83.75	TOR	AKT-B.to	null	null	0.00	0	24.56	6.51	6.51 - 24.56	AKT.B
null	null	8.04	null	1139840	8.03	null	6.97	0.47	1.32	2.76	-0.97	4.76	null	null	0.47 - 6.22%	6.22%	null	CAD	8.03	7.55	7.55 - 8.03	null	null	null	4/29/2016	0.03	0.35	59.28M	-0.11	-0.03	null	-1.96	null	10/28/2015	6.71	null	null	null	null	null	null	null	4/8/2016	8.03	null	4:00pm	4:00pm - <b>8.03</b>	null	null	2.05B	null	ALAMOS GOLD INC CLS A	null	null	7.56	null	1.97	null	null	-10.78%	6.22%	19.69%	52.23%	145.57%	7.56	1.08	null	803.00	null	6.18	null	4.28	TOR	AGI.to	null	null	5.27	851304	9.00	3.27	3.27 - 9.00	AGI
null	null	29.58	null	152537	29.44	null	18.39	0.08	2.95	4.28	-5.93	8.57	null	null	0.08 - 0.27%	0.27%	null	CAD	29.72	29.19	29.19 - 29.72	null	null	null	4/15/2016	1.50	5.38	65.08M	1.87	0.46	null	1.52	null	3/29/2016	26.62	null	null	null	null	null	null	null	4/8/2016	29.57	null	4:00pm	4:00pm - <b>29.57</b>	null	null	1.06B	null	ALARIS ROYALTY CORP.	null	null	29.72	null	3.80	19.49	null	-16.70%	0.27%	11.09%	16.94%	40.81%	29.49	1.60	15.81	13.50	null	13.11	null	4.27	TOR	AD.to	null	null	25.29	127768	35.50	21.00	21.00 - 35.50	AD
null	null	0.14	null	55781	0.13	null	1.40	0.00	-0.02	-0.00	-0.21	0.06	null	null	0.00 - 4.00%	4.00%	null	CAD	0.14	0.13	0.13 - 0.14	null	null	null	null	null	null	-10.45M	-0.08	-0.01	null	-0.05	null	null	0.15	null	null	null	null	null	null	null	4/8/2016	0.13	null	3:57pm	3:57pm - <b>0.13</b>	null	null	17.18M	null	ALDERON IRON ORE CORP	null	null	0.13	null	0.00	null	null	-61.76%	4.00%	-10.78%	-1.27%	85.71%	0.12	0.09	null	null	null	null	null	0.00	TOR	ADV.to	null	null	0.13	14500	0.34	0.07	0.07 - 0.34	ADV
null	null	2.69	null	1084390	2.67	null	2.18	0.14	0.07	0.06	-0.55	0.60	null	null	0.14 - 5.51%	5.51%	null	CAD	2.70	2.49	2.49 - 2.70	null	null	null	4/15/2014	0.00	0.00	122.27M	0.06	0.02	null	0.16	null	3/27/2014	2.61	null	null	null	null	null	null	null	4/8/2016	2.68	null	4:00pm	4:00pm - <b>2.68</b>	null	null	780.95M	null	ALACER GOLD CORP	null	null	2.54	null	7.00	16.75	null	-17.03%	5.51%	2.73%	2.28%	28.85%	2.54	1.16	44.67	53.60	null	3.12	null	5.64	TOR	ASR.to	null	null	2.62	1677261	3.23	2.08	2.08 - 3.23	ASR
null	null	10.39	null	7844	10.26	null	2.79	0.00	-0.18	-0.60	-1.67	0.43	null	null	0.00 - 0.00%	0.00%	null	CAD	10.48	10.30	10.30 - 10.48	null	null	null	2/19/2016	0.18	1.75	12.28M	0.38	0.00	null	0.43	null	1/27/2016	10.48	null	null	null	null	null	null	null	4/8/2016	10.30	null	3:55pm	3:55pm - <b>10.30</b>	null	null	119.39M	null	ALARMFORCE J	null	null	10.48	null	0.00	24.12	null	-13.95%	0.00%	-1.73%	-5.47%	4.36%	10.30	3.70	null	14.93	null	2.13	null	0.04	TOR	AF.to	null	null	10.90	6511	11.97	9.87	9.87 - 11.97	AF
null	null	1.39	null	122659	1.34	null	1.05	0.15	0.28	0.70	-0.13	1.04	null	null	0.15 - 12.10%	12.10%	null	CAD	1.40	1.28	1.28 - 1.40	null	null	null	null	null	null	20.31M	-0.10	-0.02	null	-0.47	null	null	1.11	null	null	null	null	null	null	null	4/8/2016	1.39	null	3:59pm	3:59pm - <b>1.39</b>	null	null	96.56M	null	ALEXCO RESOURCE CORP.	null	null	1.35	null	0.00	null	null	-8.55%	12.10%	25.32%	100.25%	297.14%	1.24	1.18	null	null	null	5.87	null	0.05	TOR	AXR.to	null	null	0.69	357636	1.52	0.35	0.35 - 1.52	AXR
null	null	116.00	null	null	100.11	null	0.00	-0.10	null	null	-11.96	0.00	null	null	-0.10 - -0.10%	-0.10%	null	CAD	100.26	100.25	100.25 - 100.26	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	100.25	null	2:11pm	2:11pm - <b>100.25</b>	null	null	null	null	ALGOMA CENTRAL CORP 6 PCT DBS	null	null	null	null	0.00	null	null	-10.66%	-0.10%	null	null	0.00%	100.35	null	null	null	null	null	null	null	TOR	ALC-DB.to	null	null	null	153000	112.21	100.25	100.25 - 112.21	ALC.DB
null	null	10.83	null	1020630	10.75	null	6.30	0.04	0.01	0.23	-1.24	2.18	null	null	0.04 - 0.37%	0.37%	null	CAD	10.90	10.72	10.72 - 10.90	null	null	null	4/15/2016	0.51	4.73	315.42M	0.39	0.07	null	0.29	null	3/29/2016	10.76	null	null	null	null	null	null	null	4/8/2016	10.77	null	4:00pm	4:00pm - <b>10.77</b>	null	null	2.59B	null	ALGONQUIN POWER AND UTILITIES C	null	null	10.79	null	3.14	37.27	null	-10.32%	0.37%	0.14%	2.17%	25.38%	10.73	1.70	27.62	17.37	null	2.51	null	2.76	TOR	AQN.to	null	null	10.54	990366	12.01	8.59	8.59 - 12.01	AQN
null	null	12.57	null	8071	12.49	null	15.90	0.03	-0.29	-1.48	-5.10	0.34	null	null	0.03 - 0.24%	0.24%	null	CAD	12.55	12.49	12.49 - 12.55	null	null	null	3/1/2016	0.28	2.28	59.01M	null	0.00	null	0.66	null	2/11/2016	12.79	null	null	null	null	null	null	null	4/8/2016	12.50	null	3:58pm	3:58pm - <b>12.50</b>	null	null	486.41M	null	ALGOMA CENTRAL	null	null	12.50	null	0.00	18.94	null	-28.98%	0.24%	-2.30%	-10.61%	2.80%	12.47	0.78	null	null	null	1.17	null	51.23	TOR	ALC.to	null	null	13.98	4787	17.60	12.16	12.16 - 17.60	ALC
null	null	10.01	null	null	9.70	null	0.00	0.00	9.70	9.70	-0.29	0.20	null	null	0.00 - 0.00%	0.00%	null	CAD	9.70	9.70	9.70 - 9.70	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/6/2016	9.70	null	3:51pm	3:51pm - <b>9.70</b>	null	null	250.99B	null	ALIGNVEST ACQUISITION CORP CLS	null	null	9.70	null	0.00	null	null	-2.90%	0.00%	inf%	inf%	2.11%	9.70	null	null	null	null	null	null	0.00	TOR	AQX-A.to	null	null	0.00	3800	9.99	9.50	9.50 - 9.99	AQX.A
null	null	35.75	null	null	35.50	null	0.00	0.50	null	null	-0.75	0.50	null	null	0.50 - 1.43%	1.43%	null	CAD	36.25	35.00	35.00 - 36.25	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	35.50	null	3:37pm	3:37pm - <b>35.50</b>	null	null	null	null	ALGONQUIN POWER UTIL 5 PCT DEBS	null	null	null	null	0.00	null	null	-2.07%	1.43%	null	null	1.43%	35.00	null	null	null	null	null	null	null	TOR	AQN-IR.to	null	null	null	2889500	36.25	35.00	35.00 - 36.25	AQN.IR
null	null	57.89	null	928209	57.86	null	8.27	0.39	-1.04	-2.00	-6.30	13.60	null	null	0.39 - 0.68%	0.68%	null	CAD	58.05	57.39	57.39 - 58.05	null	null	null	4/7/2016	0.27	0.47	2.00B	2.13	0.00	null	1.91	null	3/22/2016	58.93	null	null	null	null	null	null	null	4/8/2016	57.89	null	4:17pm	4:17pm - <b>57.89</b>	null	null	32.85B	null	ALIMENTATION COUCHE-TARD INC CL	null	null	57.59	null	0.00	30.31	null	-9.81%	0.68%	-1.76%	-3.34%	30.71%	57.50	6.95	null	null	null	0.97	null	4.04	TOR	ATD-B.to	null	null	59.89	868228	64.19	44.29	44.29 - 64.19	ATD.B
null	null	59.26	null	2567	58.42	null	8.27	0.44	-0.97	-1.71	-6.00	13.86	null	null	0.44 - 0.75%	0.75%	null	CAD	59.26	58.60	58.60 - 59.26	null	null	null	4/7/2016	0.27	0.46	2.00B	null	0.00	null	1.91	null	3/22/2016	59.97	null	null	null	null	null	null	null	4/8/2016	59.00	null	3:33pm	3:33pm - <b>59.00</b>	null	null	33.48B	null	ALIMENTATION COUCHE-TARD INC CL	null	null	58.60	null	0.00	30.89	null	-9.23%	0.75%	-1.61%	-2.82%	30.70%	58.56	7.08	null	null	null	0.98	null	1.28	TOR	ATD-A.to	null	null	60.71	1188	65.00	45.14	45.14 - 65.00	ATD.A
null	null	53.00	null	311	47.69	null	0.00	0.00	-0.59	-1.46	-12.00	1.82	null	null	0.00 - 0.00%	0.00%	null	CAD	47.98	47.97	47.97 - 47.98	null	null	null	3/10/2016	null	null	0.00	null	0.00	null	4.84	null	5/20/2015	48.56	null	null	null	null	null	null	null	3/28/2016	47.97	null	10:46am	10:46am - <b>47.97</b>	null	null	null	null	ALLBANC SPLIT CORP CLASS A CAPI	null	null	47.98	null	0.00	null	null	-20.01%	0.00%	-1.21%	-2.95%	3.94%	47.97	null	null	null	null	null	null	0.00	TOR	ABK-A.to	null	null	49.43	90	59.97	46.15	46.15 - 59.97	ABK.A
null	null	6.50	null	114751	6.47	null	-1.11	-0.03	-0.15	-0.77	-4.12	0.73	null	null	-0.03 - -0.46%	-0.46%	null	CAD	6.71	6.46	6.46 - 6.71	null	null	null	2/26/2016	0.32	4.92	16.83M	0.23	0.02	null	0.25	null	2/3/2016	6.63	null	null	null	null	null	null	null	4/8/2016	6.48	null	4:00pm	4:00pm - <b>6.48</b>	null	null	249.64M	null	ABSOLUTE SOFTWARE CORP.	null	null	6.58	null	0.00	25.61	null	-38.87%	-0.46%	-2.30%	-10.66%	12.70%	6.51	null	28.17	58.91	null	2.71	null	8.40	TOR	ABT.to	null	null	7.25	34219	10.60	5.75	5.75 - 10.60	ABT
null	null	17.50	null	905	17.04	null	0.00	0.00	0.81	0.52	-2.12	3.65	null	null	0.00 - 0.00%	0.00%	null	CAD	17.25	17.25	17.25 - 17.25	null	null	null	2/26/2016	null	null	0.00	null	0.00	null	-3.11	null	2/22/2016	16.44	null	null	null	null	null	null	null	4/7/2016	17.25	null	2:22pm	2:22pm - <b>17.25</b>	null	null	null	null	ALLBANC SPLIT BANC CORP II	null	null	17.25	null	0.00	null	null	-10.94%	0.00%	4.93%	3.10%	26.84%	17.25	null	null	null	null	null	null	0.00	TOR	ALB.to	null	null	16.73	1200	19.37	13.60	13.60 - 19.37	ALB
null	null	9.70	null	null	9.66	null	0.00	0.00	9.75	9.75	-0.16	0.30	null	null	0.00 - 0.00%	0.00%	null	CAD	9.75	9.74	9.74 - 9.75	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/7/2016	9.75	null	2:36pm	2:36pm - <b>9.75</b>	null	null	392.44B	null	ACASTA ENTERPRISES INC CL A	null	null	9.74	null	0.00	12.44	null	-1.61%	0.00%	inf%	inf%	3.17%	9.75	null	null	null	null	null	null	0.00	TOR	AEF-A.to	null	null	0.00	1000	9.91	9.45	9.45 - 9.91	AEF.A
null	null	34.64	null	210865	34.45	null	32.83	0.25	1.01	1.63	-6.79	5.47	null	null	0.25 - 0.73%	0.73%	null	CAD	34.86	34.25	34.25 - 34.86	null	null	null	4/15/2016	1.50	4.30	209.01M	2.31	0.00	null	3.79	null	2/25/2016	33.57	null	null	null	null	null	null	null	4/8/2016	34.58	null	4:00pm	4:00pm - <b>34.58</b>	null	null	2.70B	null	ALLIED PROPERTIES REAL ESTATE I	null	null	34.44	null	0.00	9.11	null	-16.41%	0.73%	3.00%	4.96%	18.79%	34.33	1.05	null	null	null	7.45	null	4.04	TOR	AP-UN.to	null	null	32.95	62932	41.37	29.11	29.11 - 41.37	AP.UN
null	null	1.45	null	47162	1.31	null	0.44	0.26	0.47	0.61	-0.16	0.80	null	null	0.26 - 21.85%	21.85%	null	CAD	1.61	1.30	1.30 - 1.61	null	null	null	null	null	null	-4.05M	null	0.00	null	-0.18	null	null	0.98	null	null	null	null	null	null	null	4/8/2016	1.45	null	3:59pm	3:59pm - <b>1.45</b>	null	null	106.06M	null	ALMADEN MINERALS LTD.	null	null	1.30	null	0.00	null	null	-9.94%	21.85%	47.70%	73.55%	123.08%	1.19	2.68	null	null	null	446.76	null	0.03	TOR	AMM.to	null	null	0.84	707176	1.61	0.65	0.65 - 1.61	AMM
null	null	11.95	null	68925	11.78	null	8.81	-0.08	1.16	1.13	-3.66	4.42	null	null	-0.08 - -0.67%	-0.67%	null	CAD	12.17	11.78	11.78 - 12.17	null	null	null	4/20/2016	0.12	1.01	-407000.00	-0.20	0.02	null	0.04	null	4/4/2016	10.65	null	null	null	null	null	null	null	4/8/2016	11.81	null	4:00pm	4:00pm - <b>11.81</b>	null	null	471.60M	null	ALTIUS MINERALS CORPORATION	null	null	12.13	null	0.00	274.65	null	-23.66%	-0.67%	10.89%	10.62%	59.81%	11.89	1.35	null	47.24	null	58.83	null	11.69	TOR	ALS.to	null	null	10.68	30455	15.47	7.39	7.39 - 15.47	ALS
null	null	20.88	null	57514	20.70	null	9.68	0.01	0.97	1.49	-1.33	4.42	null	null	0.01 - 0.05%	0.05%	null	CAD	20.86	20.54	20.54 - 20.86	null	null	null	4/15/2016	0.60	2.91	61.46M	1.18	0.29	null	0.27	null	3/29/2016	19.80	null	null	null	null	null	null	null	4/8/2016	20.77	null	4:00pm	4:00pm - <b>20.77</b>	null	null	752.23M	null	ALTUS GROUP LIMITED	null	null	20.65	null	0.00	76.93	null	-6.02%	0.05%	4.90%	7.75%	27.03%	20.76	2.14	17.60	15.27	null	1.93	null	12.05	TOR	AIF.to	null	null	19.28	26705	22.10	16.35	16.35 - 22.10	AIF
null	null	260.00	null	null	207.62	null	0.00	0.00	null	null	0.00	101.05	null	null	0.00 - 0.00%	0.00%	null	CAD	201.30	201.30	201.30 - 201.30	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	3/28/2016	201.30	null	2:31pm	2:31pm - <b>201.30</b>	null	null	null	null	ALTUS GROUP LTD 6.75 PCT DEBS	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	100.80%	201.30	null	null	null	null	null	null	null	TOR	AIF-DBA.to	null	null	null	10000	201.30	100.25	100.25 - 201.30	AIF.DB.A
null	null	16.16	null	799348	15.99	null	14.17	-0.47	-2.17	-4.97	-21.47	2.34	null	null	-0.47 - -2.85%	-2.85%	null	CAD	16.72	15.80	15.80 - 16.72	null	null	null	null	null	null	473.04M	2.10	0.48	null	2.08	null	null	18.22	null	null	null	null	null	null	null	4/8/2016	16.05	null	4:00pm	4:00pm - <b>16.05</b>	null	null	2.14B	null	AMAYA INC	null	null	16.72	null	1.17	7.71	null	-57.22%	-2.85%	-11.93%	-23.66%	17.07%	16.52	1.17	7.64	6.89	null	1.51	null	6.97	TOR	AYA.to	null	null	21.02	285007	37.52	13.71	13.71 - 37.52	AYA
null	null	10.43	null	61696	10.39	null	0.00	0.08	0.03	0.17	-0.55	1.39	null	null	0.08 - 0.77%	0.77%	null	CAD	10.46	10.40	10.40 - 10.46	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	1/27/2016	10.40	null	null	null	null	null	null	null	4/8/2016	10.43	null	4:00pm	4:00pm - <b>10.43</b>	null	null	null	null	AMERICAN HOTEL INCOME PROPERTIE	null	null	10.40	null	0.00	null	null	-5.01%	0.77%	0.30%	1.65%	15.38%	10.35	null	null	null	null	null	null	0.00	TOR	HOT-UN.to	null	null	10.26	23430	10.98	9.04	9.04 - 10.98	HOT.UN
null	null	0.25	null	612248	0.24	null	0.22	0.02	0.06	0.11	-0.02	0.19	null	null	0.02 - 8.70%	8.70%	null	CAD	0.25	0.23	0.23 - 0.25	null	null	null	null	null	null	-5.50M	-0.08	0.00	null	-0.28	null	null	0.19	null	null	null	null	null	null	null	4/8/2016	0.25	null	3:59pm	3:59pm - <b>0.25</b>	null	null	86.81M	null	AMERICAS SILVER CORPORATION	null	null	0.23	null	0.00	null	null	-7.41%	8.70%	28.87%	75.30%	316.67%	0.23	1.05	null	null	null	1.63	null	0.00	TOR	USA.to	null	null	0.14	903661	0.27	0.06	0.06 - 0.27	USA
null	null	10.04	null	null	10.00	null	0.00	0.00	10.00	10.00	-0.04	1.09	null	null	0.00 - 0.00%	0.00%	null	CAD	10.04	10.00	10.00 - 10.04	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	1/29/2014	0.00	null	null	null	null	null	null	null	4/7/2016	10.00	null	3:31pm	3:31pm - <b>10.00</b>	null	null	26.24B	null	AMERICAN CORE SECTORS DIVIDEND	null	null	10.04	null	0.00	null	null	-0.40%	0.00%	inf%	inf%	12.18%	10.00	null	null	null	null	null	null	0.00	TOR	ACZ-UN.to	null	null	0.00	1	10.04	8.91	8.91 - 10.04	ACZ.UN
null	null	18.49	null	1335200	18.47	null	9.76	0.14	-0.04	0.34	-7.12	4.05	null	null	0.14 - 0.76%	0.76%	null	CAD	19.19	18.42	18.42 - 19.19	null	null	null	4/15/2016	0.60	3.37	970.60M	1.17	-0.09	null	-1.01	null	3/29/2016	18.52	null	null	null	null	null	null	null	4/8/2016	18.48	null	4:15pm	4:15pm - <b>18.48</b>	null	null	6.41B	null	ARC RESOURCES LTD.	null	null	18.77	null	2.17	null	null	-27.81%	0.76%	-0.22%	1.89%	28.07%	18.34	1.88	null	264.00	null	5.84	null	9.78	TOR	ARX.to	null	null	18.14	927506	25.60	14.43	14.43 - 25.60	ARX
null	null	0.12	null	149087	0.11	null	0.57	0.01	-0.02	-0.09	-0.34	0.01	null	null	0.01 - 4.76%	4.76%	null	CAD	0.12	0.10	0.10 - 0.12	null	null	null	11/29/2012	0.00	0.00	-1.00M	-0.10	-0.02	null	-0.06	null	11/15/2012	0.13	null	null	null	null	null	null	null	4/8/2016	0.11	null	3:12pm	3:12pm - <b>0.11</b>	null	null	19.10M	null	AMERIGO RESOURCES LTD.	null	null	0.10	null	0.00	null	null	-75.56%	4.76%	-17.91%	-44.38%	10.00%	0.10	0.18	null	null	null	0.24	null	0.71	TOR	ARG.to	null	null	0.20	513000	0.45	0.10	0.10 - 0.45	ARG
null	null	0.070	null	157754	0.060	null	0.134	0.000	0.002	0.015	-0.005	0.030	null	null	0.000 - 0.000%	0.000%	null	CAD	0.065	0.060	0.060 - 0.065	null	null	null	null	null	null	4.85M	null	0.000	null	0.002	null	null	0.063	null	null	null	null	null	null	null	4/8/2016	0.065	null	3:36pm	3:36pm - <b>0.065</b>	null	null	11.69M	null	ANACONDA MINING INC.	null	null	0.065	null	0.000	32.500	null	-7.143%	0.000%	2.709%	30.568%	85.714%	0.065	0.485	null	null	null	0.477	null	0.000	TOR	ANX.to	null	null	0.050	121280	0.070	0.035	0.035 - 0.070	ANX
null	null	0.00	null	504329	null	null	-0.24	0.00	-0.00	-0.01	-0.10	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	0.00	0.00	0.00 - 0.00	null	null	null	null	null	null	15.00M	0.05	0.00	null	-0.39	null	null	0.01	null	null	null	null	null	null	null	4/7/2016	0.00	null	9:29am	9:29am - <b>0.00</b>	null	null	862500.00	null	ANDERSON ENERGY INC.	null	null	0.00	null	0.00	null	null	-95.45%	0.00%	-50.00%	-67.61%	0.00%	0.00	null	null	null	null	0.03	null	0.01	TOR	AXL.to	null	null	0.02	390000	0.11	0.00	0.00 - 0.11	AXL
null	null	35.00	null	null	32.10	null	0.00	0.00	null	null	-38.00	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	35.00	33.00	33.00 - 35.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	33.00	null	1:17pm	1:17pm - <b>33.00</b>	null	null	null	null	ANDERSON ENERGY INC 7.25 PCT DE	null	null	null	null	0.00	null	null	-53.52%	0.00%	null	null	0.00%	33.00	null	null	null	null	null	null	null	TOR	AXL-DBB.to	null	null	null	71000	71.00	33.00	33.00 - 71.00	AXL.DB.B
null	null	28.49	null	14670	28.20	null	11.45	0.24	1.96	6.92	-2.29	12.70	null	null	0.24 - 0.86%	0.86%	null	CAD	28.49	27.50	27.50 - 28.49	null	null	null	4/8/2016	0.45	1.57	41.76M	null	0.00	null	1.53	null	12/29/2015	26.25	null	null	null	null	null	null	null	4/8/2016	28.21	null	3:58pm	3:58pm - <b>28.21</b>	null	null	403.32M	null	ANDREW PELLER LIMITE	null	null	27.67	null	0.00	18.41	null	-7.51%	0.86%	7.48%	32.52%	81.88%	27.97	2.44	null	null	null	1.22	null	0.34	TOR	ADW-A.to	null	null	21.29	18377	30.50	15.51	15.51 - 30.50	ADW.A
null	null	32.40	null	null	31.40	null	11.45	-3.39	29.01	29.01	-4.99	9.51	null	null	-3.39 - -10.46%	-10.46%	null	CAD	29.02	29.00	29.00 - 29.02	null	null	null	4/8/2016	0.39	1.86	41.76M	null	0.00	null	1.53	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	29.01	null	11:35am	11:35am - <b>29.01</b>	null	null	414.76M	null	ANDREW PELLER LIMITE	null	null	29.01	null	0.00	18.94	null	-14.68%	-10.46%	inf%	inf%	48.77%	32.40	2.83	null	null	null	1.41	null	0.00	TOR	ADW-B.to	null	null	0.00	1550	34.00	19.50	19.50 - 34.00	ADW.B
null	null	null	null	25	null	null	1.62	0.00	0.01	0.13	-0.55	0.50	null	null	0.00 - 0.00%	0.00%	null	CAD	1.50	1.49	1.49 - 1.50	null	null	null	2/4/2016	0.00	0.00	-963898.00	null	0.00	null	-0.36	null	11/26/2015	1.49	null	null	null	null	null	null	null	3/31/2016	1.50	null	1:17pm	1:17pm - <b>1.50</b>	null	null	227.80M	null	ANGLO PACIFIC GROUP PLC	null	null	1.49	null	0.00	null	null	-26.83%	0.00%	0.77%	9.26%	50.00%	1.50	0.93	null	null	null	33.54	null	0.00	TOR	APY.to	null	null	1.37	1200	2.05	1.00	1.00 - 2.05	APY
null	null	3.49	null	27102	3.45	null	1.88	0.02	-0.19	-1.01	-4.85	0.74	null	null	0.02 - 0.58%	0.58%	null	CAD	3.50	3.36	3.36 - 3.50	null	null	null	null	null	null	-15.25M	null	0.00	null	-0.82	null	null	3.67	null	null	null	null	null	null	null	4/8/2016	3.48	null	3:59pm	3:59pm - <b>3.48</b>	null	null	41.76M	null	APTOSE BIOSCIENCES INC	null	null	3.50	null	0.00	null	null	-58.22%	0.58%	-5.26%	-22.51%	27.01%	3.46	1.84	null	null	null	null	null	0.15	TOR	APS.to	null	null	4.49	73350	8.33	2.74	2.74 - 8.33	APS
null	null	0.150	null	59411	0.145	null	0.054	0.000	0.005	-0.004	-0.095	0.025	null	null	0.000 - 0.000%	0.000%	null	CAD	0.145	0.145	0.145 - 0.145	null	null	null	null	null	null	-3.98M	null	0.000	null	-0.038	null	null	0.140	null	null	null	null	null	null	null	4/8/2016	0.145	null	1:47pm	1:47pm - <b>0.145</b>	null	null	32.03M	null	AQUILA RESOURCES INC.	null	null	0.145	null	0.000	null	null	-39.583%	0.000%	3.360%	-2.580%	20.833%	0.145	2.685	null	null	null	null	null	0.000	TOR	AQA.to	null	null	0.149	4500	0.240	0.120	0.120 - 0.240	AQA
null	null	5.55	null	13443	5.10	null	0.89	0.12	-1.16	-1.40	-3.18	0.77	null	null	0.12 - 2.33%	2.33%	null	CAD	5.27	5.07	5.07 - 5.27	null	null	null	null	null	null	-937408.00	0.16	0.00	null	-0.54	null	null	6.43	null	null	null	null	null	null	null	4/8/2016	5.27	null	3:51pm	3:51pm - <b>5.27</b>	null	null	172.73M	null	ARALEZ PHARMACEUTICALS INC	null	null	5.20	null	0.00	null	null	-37.63%	2.33%	-17.98%	-20.99%	17.11%	5.15	5.81	null	null	null	6.67	null	0.00	TOR	ARZ.to	null	null	6.67	3407	8.45	4.50	4.50 - 8.45	ARZ
null	null	0.030	null	260957	0.025	null	-0.009	-0.005	-0.012	-0.026	-0.495	0.005	null	null	-0.005 - -16.667%	-16.667%	null	CAD	0.025	0.025	0.025 - 0.025	null	null	null	null	null	null	-10.82M	null	0.000	null	-0.090	null	null	0.037	null	null	null	null	null	null	null	4/8/2016	0.025	null	11:28am	11:28am - <b>0.025</b>	null	null	3.81M	null	ARGEX TITANIUM INC	null	null	0.025	null	0.000	null	null	-95.192%	-16.667%	-32.692%	-50.855%	25.000%	0.030	null	null	null	null	null	null	0.000	TOR	RGX.to	null	null	0.051	161500	0.520	0.020	0.020 - 0.520	RGX
null	null	88.98	null	null	51.00	null	0.00	0.00	null	null	-49.00	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	50.00	50.00	50.00 - 50.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	3/28/2016	50.00	null	10:46am	10:46am - <b>50.00</b>	null	null	null	null	ARGEX TITANIUM INC 8.0 PCT DEBS	null	null	null	null	0.00	null	null	-49.49%	0.00%	null	null	0.00%	50.00	null	null	null	null	null	null	null	TOR	RGX-DB.to	null	null	null	8000	99.00	50.00	50.00 - 99.00	RGX.DB
null	null	1.02	null	136225	1.00	null	-0.01	0.05	0.42	0.64	-0.01	0.80	null	null	0.05 - 5.15%	5.15%	null	CAD	1.03	0.94	0.94 - 1.03	null	null	null	null	null	null	-3.80M	null	0.00	null	-0.17	null	null	0.60	null	null	null	null	null	null	null	4/8/2016	1.02	null	3:59pm	3:59pm - <b>1.02</b>	null	null	131.05M	null	ARIZONA MINING INC	null	null	0.94	null	0.00	null	null	-0.97%	5.15%	70.94%	169.94%	363.64%	0.97	null	null	null	null	null	null	0.00	TOR	AZ.to	null	null	0.38	458962	1.03	0.22	0.22 - 1.03	AZ
